"source","population","temperature","country","weeks_survived","survived","exp_length","sample_size","experiment_index","population_index"
,,28,"Senegal",,1,4,,16,1
,,28,"Senegal",0,0,15,,16,1
,,28,"Senegal",4,0,15,,16,1
,,28,"Senegal",,1,1,,16,1
,,28,"Senegal",5,0,15,,16,1
,,28,"Senegal",5,0,15,,16,1
,,28,"Senegal",,1,5,,16,1
,,28,"Senegal",,1,4,,16,1
,,28,"Senegal",0,0,15,,16,1
,,28,"Senegal",0,0,15,,16,1
,,28,"Senegal",0,0,15,,16,1
,,28,"Senegal",,1,1,,16,1
,,28,"Senegal",1,0,15,,16,1
,,28,"Senegal",1,0,15,,16,1
,,28,"Senegal",3,0,15,,16,1
,,28,"Senegal",,1,3,,16,1
,,28,"Senegal",1,0,15,,16,1
,,28,"Senegal",0,0,15,,16,1
,,28,"Senegal",4,0,15,,16,1
,,28,"Senegal",,1,4,,16,1
,,28,"Senegal",,1,1,,16,1
,,28,"Senegal",0,0,15,,16,1
,,28,"Senegal",1,0,15,,16,1
,,28,"Senegal",2,0,15,,16,1
,,28,"Senegal",3,0,15,,16,1
,,28,"Senegal",,1,3,,16,1
,,28,"Senegal",0,0,15,,16,1
,,28,"Senegal",,1,1,,16,1
,,28,"Senegal",0,0,15,,16,1
,,28,"Senegal",,1,0,,16,1
,,28,"Senegal",0,0,15,,16,1
,,28,"Senegal",0,0,15,,16,1
,,28,"Senegal",2,0,15,,16,1
,,28,"Senegal",1,0,15,,16,1
,,28,"Senegal",,1,2,,16,1
,,28,"Senegal",,1,-1,,16,1
,,28,"Senegal",,1,1,,16,1
,,28,"Senegal",0,0,15,,16,1
,,28,"Senegal",1,0,15,,16,1
,,28,"Senegal",7,0,15,,16,1
,,28,"Senegal",,1,7,,16,1
,,28,"Senegal",,1,1,,16,1
,,28,"Senegal",2,0,15,,16,1
,,28,"Senegal",2,0,15,,16,1
,,28,"Senegal",,1,-1,,16,1
,,28,"Senegal",1,0,15,,16,1
,,28,"Senegal",0,0,15,,16,1
,,28,"Senegal",2,0,15,,16,1
,,28,"Senegal",,1,4,,16,1
,,28,"Senegal",4,0,15,,16,1
,,28,"Senegal",5,0,15,,16,1
,,28,"Senegal",2,0,15,,16,1
,,28,"Senegal",,1,5,,16,1
,,28,"Senegal",2,0,15,,16,1
,,28,"Senegal",,1,2,,16,1
,,28,"Senegal",2,0,15,,16,1
,,28,"Senegal",6,0,15,,16,1
,,28,"Senegal",4,0,15,,16,1
,,28,"Senegal",6,0,15,,16,1
,,28,"Senegal",1,0,15,,16,1
,,28,"Senegal",1,0,15,,16,1
,,28,"Senegal",1,0,15,,16,1
,,28,"Zimbabwe",,1,5,,17,2
,,28,"Zimbabwe",1,0,15,,17,2
,,28,"Zimbabwe",5,0,15,,17,2
,,28,"Zimbabwe",5,0,15,,17,2
,,28,"Zimbabwe",,1,11,,17,2
,,28,"Zimbabwe",11,0,15,,17,2
,,28,"Zimbabwe",0,0,15,,17,2
